Player First Name,Player Last Name,Phone Number ,email Address ,address ,city 
Virat,Kohli,xxxxxxxxxx,viratkohli@gmail.com,18 Royal Street,Delhi
Steve,Smith,xxxxxxxxxx,stevesmith@gmail.com,10 Harbour Road,Sydney
Joe,Root,xxxxxxxxxx,joeroot@gmail.com,22 King Lane,London
Kane,Williamson,xxxxxxxxxx,kanewill@gmail.com,14 Fern Avenue,Auckland
Babar,Azam,xxxxxxxxxx,babarazam@gmail.com,5 Garden Street,Lahore
Rohit,Sharma,xxxxxxxxxx,rohitsharma@gmail.com,11 Lotus Road,Mumbai
David,Warner,xxxxxxxxxx,davidwarner@gmail.com,7 Beach Parade,Melbourne
Ben,Stokes,xxxxxxxxxx,benstokes@gmail.com,29 Grove Way,Bristol
Shakib,AlHasan,xxxxxxxxxx,shakib@gmail.com,33 Lake View,Dhaka
Trent,Boult,xxxxxxxxxx,trboult@gmail.com,88 Ridgeway Drive,Wellington
Faf,duPlessis,xxxxxxxxxx,fafdup@gmail.com,16 Oak Crescent,Cape Town
Quinton,deKock,xxxxxxxxxx,qdk@gmail.com,44 River Lane,Johannesburg
Rashid,Khan,xxxxxxxxxx,rashidk@gmail.com,71 Hilltop Road,Kabul
Mohammad,Nabi,xxxxxxxxxx,nabi.afg@gmail.com,39 Palm Street,Herat
Tamim,Iqbal,xxxxxxxxxx,tamimiqbal@gmail.com,91 Lotus Avenue,Chittagong
KL,Rahul,xxxxxxxxxx,klrahul@gmail.com,25 Silk Road,Bangalore
Jasprit,Bumrah,xxxxxxxxxx,bumrahj@gmail.com,50 Coral Lane,Ahmedabad
Pat,Cummins,xxxxxxxxxx,cumminspat@gmail.com,73 Rock Hill,Sydney
Marnus,Labuschagne,xxxxxxxxxx,marnuslab@gmail.com,15 Sunset Blvd,Brisbane
Jos,Buttler,xxxxxxxxxx,buttlerj@gmail.com,12 Elm Street,London
Shaheen,Shah,xxxxxxxxxx,shaheen.shah@gmail.com,88 Garden Hill,Islamabad
Hardik,Pandya,xxxxxxxxxx,hpandya@gmail.com,101 Maple Lane,Vadodara
Anrich,Nortje,xxxxxxxxxx,nortjean@gmail.com,60 Forest View,Pretoria
Dasun,Shanaka,xxxxxxxxxx,dshanaka@gmail.com,45 Seaside Drive,Colombo
Glenn,Maxwell,xxxxxxxxxx,gmaxwell@gmail.com,77 Bayside Street,Perth
